# https://nemnodes.org and whois results
# NEM
IP Address|Port|Version|OS|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.32.83.21|7890|0.6.100|Linux|132203|101.32.80.0/20|SG|apnic|2010-12-14|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
101.32.83.213|7890|0.6.100|Linux|132203|101.32.80.0/20|SG|apnic|2010-12-14|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
101.32.83.232|7890|0.6.100|Linux|132203|101.32.80.0/20|SG|apnic|2010-12-14|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
101.32.83.36|7890|0.6.100|Linux|132203|101.32.80.0/20|SG|apnic|2010-12-14|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
101.32.83.72|7890|0.6.100|Linux|132203|101.32.80.0/20|SG|apnic|2010-12-14|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
103.225.161.89|7890|0.6.97-|Linux|59356|103.225.160.0/22|AU|apnic|2014-02-07|VMCENTRAL-AS-AP VMCENTRAL Cloud Services, AU
103.42.225.46|7890|0.6.100|Windows Server 2012 R2|38719|103.42.224.0/23|AU|apnic|2014-11-12|DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
104.237.5.122|7890|0.6.100|Linux|394727|104.237.5.0/24|US|arin|2014-11-03|NODISTO, US
104.238.161.61|7890|0.6.100|Linux|20473|104.238.160.0/23|US|arin|2014-11-13|AS-CHOOPA, US
104.247.204.163||||46261|104.247.204.0/23|US|arin|2014-12-09|QUICKPACKET, US
104.247.204.164||||46261|104.247.204.0/23|US|arin|2014-12-09|QUICKPACKET, US
104.247.204.165||||46261|104.247.204.0/23|US|arin|2014-12-09|QUICKPACKET, US
104.247.204.166||||46261|104.247.204.0/23|US|arin|2014-12-09|QUICKPACKET, US
104.251.212.131|7890|0.6.100|Linux|394727|104.251.212.0/24|US|arin|2014-12-24|NODISTO, US
107.161.126.163||||46261|107.161.112.0/20|US|arin|2014-01-17|QUICKPACKET, US
107.161.126.164||||46261|107.161.112.0/20|US|arin|2014-01-17|QUICKPACKET, US
107.161.126.165||||46261|107.161.112.0/20|US|arin|2014-01-17|QUICKPACKET, US
107.161.126.166||||46261|107.161.112.0/20|US|arin|2014-01-17|QUICKPACKET, US
108.61.163.70|7890|0.6.100|Linux|20473|108.61.160.0/22|US|arin|2010-12-08|AS-CHOOPA, US
108.61.168.86|7890|0.6.100|Linux|20473|108.61.168.0/23|US|arin|2010-12-08|AS-CHOOPA, US
108.61.182.27|7890|0.6.100|Linux|20473|108.61.180.0/22|US|arin|2010-12-08|AS-CHOOPA, US
108.61.96.212|7890|0.6.100|Linux|20473|108.61.96.0/24|US|arin|2010-12-08|AS-CHOOPA, US
110.132.67.45||||9824|110.132.0.0/16|JP|apnic|2009-04-16|JTCL-JP-AS JCOM Co., Ltd., JP
116.203.188.139|7890|0.6.100|Linux|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.80.41.125||||2514|116.80.0.0/16|JP|apnic|2007-05-14|INFOSPHERE NTT PC Communications, Inc., JP
119.229.126.219|7890|0.6.100|Linux|17511|119.228.0.0/14|JP|apnic|2008-02-28|OPTAGE OPTAGE Inc., JP
119.28.251.167|7890|0.6.100|Linux|132203|119.28.240.0/20|CN|apnic|2007-12-12|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
119.47.17.86|7890|0.6.100|Linux|17682|119.47.16.0/20|JP|apnic|2008-01-10|CABLENET296 296 BROAD NET Com Inc, JP
122.103.237.51|7890|0.6.100|Linux|2519|122.103.0.0/16|JP|apnic|2006-11-02|VECTANT ARTERIA Networks Corporation, JP
124.156.19.124|7890|0.6.100|Linux|132203|124.156.0.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.19.83|7890|0.6.100|Linux|132203|124.156.0.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.19.84|7890|0.6.100|Linux|132203|124.156.0.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.46.111|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.46.129|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.46.149|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.46.150|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.46.55|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.46.60|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.46.71|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.46.89|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.46.94|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.47.171|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.47.186|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.47.192|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.47.204|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.47.225|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.47.23|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.47.241|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.47.247|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.47.45|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.47.73|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
124.156.47.92|7890|0.6.100|Linux|132203|124.156.32.0/19|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
129.226.35.192|7890|0.6.100|Linux|132203|129.226.32.0/20|SG|apnic|1988-03-07|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
13.112.198.180||||16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US
13.115.192.38|7890|0.6.100|Linux|16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US
13.115.60.90||||16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US
13.231.200.172||||16509|13.230.0.0/15|US|arin|2019-10-01|AMAZON-02, US
133.130.122.209|7890|0.6.97-|Linux|7506|133.130.64.0/18|JP|apnic|1997-03-01|INTERQ GMO Internet,Inc, JP
133.167.120.125||||9371|133.167.0.0/16|JP|apnic|1997-03-01|SAKURA-C SAKURA Internet Inc., JP
133.167.122.150|7890|0.6.100|Linux|9371|133.167.0.0/16|JP|apnic|1997-03-01|SAKURA-C SAKURA Internet Inc., JP
133.167.127.119||||9371|133.167.0.0/16|JP|apnic|1997-03-01|SAKURA-C SAKURA Internet Inc., JP
133.167.87.152|7890|0.6.100|Linux|9371|133.167.0.0/16|JP|apnic|1997-03-01|SAKURA-C SAKURA Internet Inc., JP
133.167.99.123||||9371|133.167.0.0/16|JP|apnic|1997-03-01|SAKURA-C SAKURA Internet Inc., JP
133.242.181.81||||7684|133.242.0.0/16|JP|apnic|1997-03-01|SAKURA-A SAKURA Internet Inc., JP
135.181.35.125|7890|0.6.100|Linux|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
135.181.35.126|7890|0.6.100|Linux|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
135.181.35.127|7890|0.6.100|Linux|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
136.144.215.219||||20857|136.144.192.0/18|NL|ripencc|1989-08-29|TRANSIP-AS Amsterdam, the Netherlands, NL
136.243.29.192|7890|0.6.100|Linux|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE
136.243.29.193|7890|0.6.100|Linux|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE
136.243.36.100|7890|0.6.100|Linux|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE
136.243.4.23|7890|0.6.100|Linux|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE
137.184.144.135||||14061|137.184.144.0/20|US|arin|2019-11-13|DIGITALOCEAN-ASN, US
137.184.46.55|7890|0.6.100|Linux|14061|137.184.32.0/20|US|arin|2019-11-13|DIGITALOCEAN-ASN, US
138.201.118.129|7890|0.6.100|Linux|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
138.201.186.71|7890|0.6.100|Linux|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
138.201.203.22|7890|0.6.100|Linux|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
138.201.8.248|7890|0.6.100|Linux|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
139.180.160.165|7890|0.6.100|Linux|20473|139.180.160.0/20|US|apnic|1993-04-08|AS-CHOOPA, US
139.180.194.79||||20473|139.180.192.0/20|US|apnic|1993-04-08|AS-CHOOPA, US
139.180.196.189||||20473|139.180.192.0/20|US|apnic|1993-04-08|AS-CHOOPA, US
144.126.151.30||||40021|144.126.148.0/22|US|arin|2021-03-16|CONTABO, US
144.126.156.111||||40021|144.126.152.0/21|US|arin|2021-03-16|CONTABO, US
144.217.88.193|7890|0.6.100|Linux|16276|144.217.0.0/16|CA|arin|2016-09-07|OVH, FR
