# https://api.nanocrawler.cc/ and whois results
# Nano
IP Address|Version|Protocol Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name|Node Account
104.131.169.14|Nano V22.0||||||||
104.248.235.189|Nano V21.3||||||||
116.202.52.114|Nano V22.1||||||||
116.203.130.224|Nano V22.1||||||||
116.203.62.225|Nano V22.0||||||||
134.209.200.73|Nano V22.1||||||||
139.59.181.118|Nano V22.1||||||||
140.116.245.162|Nano V22.1||||||||
143.198.59.250|Nano V22.1||||||||
143.244.210.148|Nano V22.1||||||||
157.90.160.221|Nano V22.1||||||||
159.65.161.206|Nano V22.1||||||||
164.90.136.60|Nano V22.1||||||||
165.227.25.198|Nano V22.1||||||||
167.71.245.153|Nano V22.1||||||||
167.71.87.249|Nano V22.1||||||||
167.86.66.13|Nano V22.1||||||||
172.66.43.40|Nano V22.1||||||||
172.67.137.175|Nano V22.1||||||||
172.67.167.244|Nano V22.1||||||||
172.67.188.231|Nano V22.1||||||||
173.249.53.54|Nano V22.1||||||||
173.70.214.221|Nano V22.1||||||||
182.55.49.221|Nano V22.1||||||||
193.41.237.131|Nano V22.1||||||||
195.154.165.206|Nano V22.1||||||||
2.56.98.216|Nano V22.0||||||||
2.59.133.106|Nano V22.1|18|58212|2.59.132.0/22|DE|ripencc|2019-03-26|PHP-FRIENDS, DE|nano_1my1snode8rwccjxkckjirj65zdxo6g5nhh16fh6sn7hwewxooyyesdsmii3
202.61.242.99|Nano V22.0||||||||
213.136.77.111|Nano V22.1||||||||
213.171.211.207|Nano V22.1||||||||
217.160.65.156|Nano V22.1||||||||
37.191.207.40|Nano V22.1|18|57963|37.191.128.0/17|NO|ripencc|2012-03-21|LYNET-INTERNETT-AS, NO|nano_1jtx5p8141zjtukz4msp1x93st7nh475f74odj8673qqm96xczmtcnanos1o
45.129.180.39|Nano V22.1|18|197540|45.129.180.0/22|DE|ripencc|2019-07-16|NETCUP-AS netcup GmbH, DE|nano_3caprkc56ebsaakn4j4n7g9p8h358mycfjcyzkrfw1nai6prbyk8ihc5yjjk
51.81.73.179|Nano V22.0|18|16276|51.81.0.0/17|US|arin|2019-03-11|OVH, FR|nano_3ewhro1uzpbgjztkc5t3yawcqw7mz4acp519m4b7qw14t58t67gndaxswxad
62.171.182.107|Nano V22.1|18|51167|62.171.182.0/23|DE|ripencc|2000-08-18|CONTABO, DE|nano_3kc8wwut3u8g1kwa6x4drkzu346bdbyqzsn14tmabrpeobn8igksfqkzajbb
65.21.104.141|Nano V22.1|18|24940|65.21.0.0/16|DE|ripencc|2001-09-26|HETZNER-AS, DE|nano_1zuksmn4e8tjw1ch8m8fbrwy5459bx8645o9euj699rs13qy6ysjhrewioey
67.205.189.200|V22.1||||||||
77.68.79.97|Nano V22.1||||||||
77.68.83.129|Nano V22.1||||||||
77.68.91.120|Nano V22.1||||||||
77.72.193.181|Nano V22.1||||||||
82.64.100.254|Nano V22.1||||||||
94.16.111.227|Nano V22.1||||||||
94.237.111.22|Nano V22.1|18|202053|94.237.108.0/22|FI|ripencc|2008-10-22|UPCLOUD, FI|nano_1ec5optppmndqsb3rxu1qa4hpo39957s7mfqycpbd547jga4768o6xz8gfie
95.216.206.138|Nano V22.1|18|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE|nano_3tta9pdxr4djdcm6r3c7969syoirj3dunrtynmmi8n1qtxzk9iksoz1gxdrh
95.216.218.49|Nano V22.1||||||||
95.216.220.194|Nano V22.1||||||||
95.217.197.116|Nano V22.1||||||||
